accepted_date,year,period,before_publication_close_price,1d_close_price,2d_close_price,7d_close_price,14d_close_price,revenue,cost_of_goods_sold,operating_income,net_income,current_assets,non_current_assets,current_liabilities,non_current_assets,equity,operating_cash_flow,capital_expenditure,pe,eps,ebitda_margin,ev_ebitda,netincome_ratio,debt_to_equity,current_ratio,quick_ratio,roe,roa,free_cash_flow_yield,positive_score,neutral_score,negative_score
2000-05-15,2000,Q1,2.687500,2.803125,2.953125,2.334375,2.893750,573889000,506999000,-197892000,-308425000,1270949000,1458794000,567165000,1458794000,25617000,-320514000,-26601000,-59.7222,-0.045,-0.0112,-3222.0177,-0.5374,84.0436,2.2409,1.7788,-12.0399,-0.1130,-0.0188,13,57,28
2000-08-02,2000,Q2,1.512500,1.540625,1.575000,1.521875,1.875000,577876000,508944000,-180377000,-317184000,1166640000,1294090000,607623000,1294090000,-278424000,-54029000,-28878000,-33.2418,-0.0455,0.0184,1266.5873,-0.5489,-7.7194,1.9200,1.4937,1.1392,-0.1289,-0.0078,13,54,31
2000-10-30,2000,Q3,1.781250,1.643750,1.831250,1.846875,1.390625,637858000,541738000,-163515000,-240524000,1163085000,1091542000,659097000,1091542000,-487167000,-3688000,-41948000,-52.3897,-0.034,0.0663,363.2456,-0.3771,-4.3105,1.7647,1.3655,0.4937,-0.1067,-0.0036,16,55,28
2001-03-23,2000,Q4,0.509375,0.509375,0.547000,0.455000,0.666000,972360000,817851000,-322096000,-545140000,1361129000,774040000,974956000,774040000,-967251000,247653000,-37331000,-6.6153,-0.077,0.0501,135.2394,-0.5606,-2.2166,1.3961,1.1288,0.5636,-0.2553,0.0580,11,67,20
2001-04-27,2001,Q1,0.771500,0.763500,0.789000,0.846000,0.706500,700356000,686291000,-216608000,-223608000,855710000,614445000,604710000,614445000,-1253411000,-406984000,-19437000,-23.3788,-0.033,0.0406,284.6855,-0.3193,-1.7059,1.4151,1.0633,0.1784,-0.1521,-0.0773,13,55,30
2001-07-23,2001,Q2,0.849000,0.801500,0.603000,0.624500,0.523000,667625000,638198000,-139840000,-168359000,809357000,535679000,648240000,535679000,-1429931000,2485000,-10425000,-36.1277,-0.0235,0.0872,149.7492,-0.2522,-1.5001,1.2485,0.9394,0.1177,-0.1252,-0.0013,12,59,27
2001-10-30,2001,Q3,0.352500,0.321000,0.349000,0.371500,0.447500,1162199000,612335000,-70334000,-169874000,870276000,476092000,628198000,476092000,-1453994000,-64403000,-12925000,-15.3261,-0.023,0.0355,126.4681,-0.1462,-1.5050,1.3854,1.0635,0.1168,-0.1262,-0.0298,11,58,29
2002-01-24,2001,Q4,0.623500,0.700500,0.722000,0.686500,0.645000,1115171000,1002466000,14525000,5087000,1207920000,429627000,921414000,429627000,-1440000000,349120000,-7534000,623.5000,0.001,0.1136,57.9535,0.0046,-1.5077,1.3109,1.0816,-0.0035,0.0031,0.0737,11,67,21
2002-04-24,2002,Q1,0.703000,0.839500,0.841000,0.816000,0.866000,847422000,769609000,1774000,-23951000,954273000,407655000,657030000,407655000,-1447375000,-241033000,-4854000,-234.3333,-0.003,0.0500,181.8162,-0.0283,-1.4967,1.4524,1.1343,0.0165,-0.0176,-0.0469,12,60,26
2002-07-25,2002,Q2,0.624500,0.646500,0.716500,0.643500,0.695500,805605000,731354000,1472000,-93553000,1043577000,391470000,660532000,391470000,-1443911000,4637000,-7440000,-49.9600,-0.0125,0.0377,237.4296,-0.1161,-1.5464,1.5799,1.2468,0.0648,-0.0652,-0.0006,12,61,26
2002-10-25,2002,Q3,0.965000,0.929500,0.928500,0.936000,1.060500,851299000,778381000,-9645000,-35080000,1119607000,377798000,710998000,377798000,-1478439000,38108000,-11353000,-214.4444,-0.0045,0.0659,177.0140,-0.0412,-1.5408,1.5747,1.2177,0.0237,-0.0234,0.0037,12,60,27
2003-02-19,2002,Q4,1.069500,1.059500,1.068000,1.081000,1.144000,1428610000,1269058000,70523000,2651000,1615676000,374773000,1065958000,374773000,-1352814000,372579000,-15516000,2139.0000,0.0005,-0.0010,-7771.4415,0.0019,-1.6932,1.5157,1.3258,-0.0020,0.0013,0.0435,11,69,18
2003-04-25,2003,Q1,1.448500,1.455500,1.444500,1.544000,1.631500,1083559000,966770000,39225000,-10121000,1344496000,361437000,698579000,361437000,-1289064000,-251782000,-6394000,-965.6667,-0.0015,0.0603,215.1385,-0.0093,-1.7901,1.9246,1.6769,0.0079,-0.0059,-0.0229,13,59,27
2003-07-23,2003,Q2,2.005500,2.065500,2.080000,2.001500,1.992500,1099912000,985574000,41823000,-43314000,1251254000,345600000,769384000,345600000,-1246836000,126024000,-7141000,-364.6364,-0.0055,0.0600,280.4874,-0.0394,-1.6702,1.6263,1.3948,0.0347,-0.0271,0.0075,12,59,27
2003-10-24,2003,Q3,2.716000,2.725500,2.741000,2.837000,2.706500,1134456000,1009467000,51931000,15563000,1410200000,339485000,826750000,339485000,-1158034000,36817000,-15192000,1358.0000,0.002,0.0671,320.2569,0.0137,-1.8022,1.7057,1.4134,-0.0134,0.0089,0.0010,12,60,27
2004-02-25,2003,Q4,2.147000,2.182500,2.150500,2.204500,2.106500,1945772000,1729561000,137616000,73154000,1820809000,341224000,1252701000,341224000,-1036107000,480963000,-17236000,226.0000,0.0095,0.0831,124.9956,0.0376,-1.8817,1.4535,1.2189,-0.0706,0.0338,0.0270,6,79,13
2004-04-22,2004,Q1,2.443000,2.314500,2.362500,2.220500,2.151000,1530349000,1352296000,110435000,111136000,1405574000,332987000,865911000,332987000,-905050000,-250688000,-9513000,174.5000,0.014,0.0889,163.7911,0.0726,-1.9669,1.6232,1.2981,-0.1228,0.0639,-0.0132,13,59,27
2004-07-23,2004,Q2,2.291000,1.999000,1.939000,1.915000,1.828000,1387341000,1227487000,86274000,76480000,1561192000,326918000,916354000,326918000,-790858000,143036000,-14143000,241.1579,0.0095,0.0792,191.3241,0.0551,-2.2318,1.7037,1.3936,-0.0967,0.0405,0.0069,12,59,27
