filling_date,year,period,1d_close_price,2d_close_price,7d_close_price,14d_close_price,revenue,cost_of_goods_sold,operating_income,net_income,current_assets,non_current_assets,current_liabilities,non_current_assets,equity,operating_cash_flow,capital_expenditure,positive_score,neutral_score,negative_score
2000-05-15,2000,Q1,2.953125,3.050000,2.593750,2.587500,573889000,506999000,-197892000,-308425000,1270949000,1458794000,567165000,1458794000,25617000,-320514000,-26601000,13,57,28
2000-08-02,2000,Q2,1.575000,1.625000,1.543750,1.931250,577876000,508944000,-180377000,-317184000,1166640000,1294090000,607623000,1294090000,-278424000,-54029000,-28878000,13,54,31
2000-10-30,2000,Q3,1.831250,1.868750,1.828125,1.390625,637858000,541738000,-163515000,-240524000,1163085000,1091542000,659097000,1091542000,-487167000,-3688000,-41948000,16,55,28
2001-03-23,2000,Q4,0.547000,0.547000,0.511500,0.418500,972360000,817851000,-322096000,-545140000,1361129000,774040000,974956000,774040000,-967251000,247653000,-37331000,11,67,20
2001-04-27,2001,Q1,0.789000,0.789000,0.878000,0.734000,700356000,686291000,-216608000,-223608000,855710000,614445000,604710000,614445000,-1253411000,-406984000,-19437000,13,55,30
2001-07-23,2001,Q2,0.603000,0.575500,0.627500,0.595000,667625000,638198000,-139840000,-168359000,809357000,535679000,648240000,535679000,-1429931000,2485000,-10425000,12,59,27
2001-10-30,2001,Q3,0.349000,0.347500,0.352500,0.364500,1162199000,612335000,-70334000,-169874000,870276000,476092000,628198000,476092000,-1453994000,-64403000,-12925000,11,58,29
2002-01-24,2001,Q4,0.722000,0.775000,0.709500,0.562000,1115171000,1002466000,14525000,5087000,1207920000,429627000,921414000,429627000,-1440000000,349120000,-7534000,11,67,21
2002-04-24,2002,Q1,0.841000,0.845500,0.824500,0.866000,847422000,769609000,1774000,-23951000,954273000,407655000,657030000,407655000,-1447375000,-241033000,-4854000,12,60,26
2002-07-26,2002,Q2,0.716500,0.716500,0.692000,0.713000,805605000,731354000,1472000,-93553000,1043577000,391470000,660532000,391470000,-1443911000,4637000,-7440000,12,61,26
2002-10-25,2002,Q3,0.929500,0.929500,0.990000,0.975500,851299000,778381000,-9645000,-35080000,1119607000,377798000,710998000,377798000,-1478439000,38108000,-11353000,12,60,27
